payment_method,bank_country_code,account_name,account_number,swift_code,bsb,aba,status,response
\"SWIFT\",\"AU\",\"John Smith\",\"A!cde6789\",\"ICBCAUBJ\",\"QWERTY\",\"\",200,{\"success\":\"Bank details saved\"}
\"SWIFT\",\"AU\",\"John Smith\",\"A!cde67890\",\"ICBCAUBJ\",\"QWERTY\",\"\",400,"{\"error\":\"Length of account_number should be between 6 and 9 when bank_country_code is 'AU'\"}"
\"SWIFT\",\"AU\",\"John Smith\",\"A!cde\",\"ICBCAUBJ\",\"QWERTY\",\"\",400,"{\"error\":\"Length of account_number should be between 6 and 9 when bank_country_code is 'AU'\"}"
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"\",\"\",\"11122233A\",400,"{\"error\":\"'swift_code' is required when payment method is 'SWIFT'\"}"
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCUS7\",\"\",\"11122233A\",400,"{\"error\":\"Length of 'swift_code' should be either 8 or 11\"}"
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCUS789\",\"\",\"11122233A\",400,"{\"error\":\"Length of 'swift_code' should be either 8 or 11\"}"
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCUS7890\",\"\",\"11122233A\",400,"{\"error\":\"Length of 'swift_code' should be either 8 or 11\"}"
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCUS78901\",\"\",\"11122233A\",200,{\"success\":\"Bank details saved\"}
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCUS789012\",\"\",\"11122233A\",400,"{\"error\":\"Length of 'swift_code' should be either 8 or 11\"}"
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCAU78\",\"\",\"11122233A\",400,"{\"error\":\"The swift code is not valid for the given bank country code: US\"}"
\"SWIFT\",\"CN\",\"John Smith\",\"12345678\",\"ICBCUS78\",\"\",\"\",400,"{\"error\":\"The swift code is not valid for the given bank country code: CN\"}"
\"SWIFT\",\"AU\",\"John Smith\",\"1234567\",\"ICBCUS78\",\"\",\"\",400,"{\"error\":\"The swift code is not valid for the given bank country code: AU\"}"
\"SWIFT\",\"AU\",\"John Smith\",\"123456\",\"ICBCAUBJ\",\"\",\"\",400,"{\"error\":\"'bsb' is required when bank country code is 'AU'\"}"
\"SWIFT\",\"AU\",\"John Smith\",\"123456\",\"ICBCAUBJ\",\"QWER5\",\"\",400,"{\"error\":\"Length of 'bsb' should be 6\"}"
\"SWIFT\",\"AU\",\"John Smith\",\"123456\",\"ICBCAUBJ\",\"QWER567\",\"\",400,"{\"error\":\"Length of 'bsb' should be 6\"}"
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCUSBJ\",\"\",\"\",400,"{\"error\":\"'aba' is required when country code is 'US'\"}"
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCUSBJ\",\"\",\"12345678\",400,"{\"error\":\"Length of 'aba' should be 9\"}"
\"SWIFT\",\"US\",\"John Smith\",\"123\",\"ICBCUSBJ\",\"\",\"1234567890\",400,"{\"error\":\"Length of 'aba' should be 9\"}"
